iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.961646490939 2.5200547219436564e6 2.5200547219436564e6 2.5200547219436564e6 0.0 0.0
100.0 0.9572998417499997 -234318.9593884151 1.854636427640346e6 1.854636427640346e6 2.164575772919519e6 5900.0 10.0
200.0 1.9023222247000002 -404561.8663287133 1.419935877884979e6 1.419935877884979e6 1.8959987864843642e6 11800.0 20.0
300.0 2.8387798239000004 -540611.9645203963 1.1342991429640483e6 1.1342991429640483e6 1.6885941718222352e6 17700.0 30.0
400.0 3.7779885271499998 -658189.5538547247 945427.502216933 945427.502216933 1.5265067505888797e6 23600.0 40.0
500.0 4.71031718785 -767779.6758399921 818471.8931708875 818471.8931708875 1.3980972521558735e6 29500.0 50.0
600.0 5.65025648165 -876490.8671194675 729361.0967718032 729361.0967718032 1.294659375867596e6 35400.0 60.0
700.0 6.581724523450001 -989658.1695081905 660832.1533410564 660832.1533410564 1.2095746664731817e6 41300.0 70.0
800.0 7.53333311155 -1.1097248795476037e6 600490.6571833357 600490.6571833357 1.1376973979964647e6 47200.0 80.0
900.0 8.47562264175 -1.2365470684985884e6 539819.4542432942 539819.4542432942 1.075027056585193e6 53100.0 90.0
1000.0 9.4124247822 -1.3660186265825343e6 475038.85958761134 475038.85958761134 1.0185439691167739e6 59000.0 100.0
1100.0 10.3737665881 -1.491710726252267e6 407054.3955385361 407054.3955385361 966222.2504730355 64900.0 110.0
1200.0 11.3073002607 -1.6059809605344934e6 340520.40057742724 340520.40057742724 916957.8326843046 70800.0 120.0
1300.0 12.26709410665 -1.7037346555679422e6 280229.0609699184 280229.0609699184 870371.5593955332 76700.0 130.0
1400.0 13.213327557100001 -1.7834164235168458e6 229123.72082215306 229123.72082215306 826466.6157810404 82600.0 140.0
1500.0 14.150575873849998 -1.8463757503783319e6 187841.13091069274 187841.13091069274 785350.4367869385 88500.0 150.0
1600.0 15.078700937049996 -1.8953334437703483e6 155492.19216673946 155492.19216673946 747092.4249153265 94400.0 160.0
1700.0 16.01924774605 -1.9333025452048753e6 130509.39553197692 130509.39553197692 711660.4124003389 100300.0 170.0
1800.0 16.9706715557 -1.9629741664612968e6 111218.22975002574 111218.22975002574 678943.7478531753 106200.0 180.0
1900.0 17.920501320250004 -1.9865694793489552e6 96130.18633071991 96130.18633071991 648769.373657019 112100.0 190.0
2000.0 18.852971713549998 -2.0056543161081565e6 84160.27490035622 84160.27490035622 620936.6219622638 118000.0 200.0
2100.0 19.78792764295 -2.0213176680756328e6 74541.40135675613 74541.40135675613 595238.6694709301 123900.0 210.0
2200.0 20.721190397150004 -2.0342874818727504e6 66786.09920418811 66786.09920418811 571478.327294767 129800.0 220.0
2300.0 21.659480554599998 -2.0451894918123218e6 60469.99413309981 60469.99413309981 549475.5436918273 135700.0 230.0
2400.0 22.586534134050005 -2.0545241431413337e6 55209.55290120088 55209.55290120088 529061.5506766995 141600.0 240.0
2500.0 23.527004258499996 -2.0626577509948914e6 50744.207359222826 50744.207359222826 510082.82689487434 147500.0 250.0
