iter time primal fd fdmin fdavg, lmo1 lmo2
0.0 0.0 1.929171132070663e6 0.0 0.0 0.0 0.0 0.0
100.0 0.5946324612000001 18.70295617127096 21.605764640681564 0.0 52.90410702194648 5.0 95.0
200.0 1.0732679290499998 13.07947678126354 15.387533793079779 0.0 36.6880856244334 10.0 190.0
300.0 1.575961054 9.889392387569199 11.854373546586313 0.0 29.356576577103876 15.0 285.0
400.0 2.09936912765 7.7341317510861955 9.488967973904845 0.0 24.8451698388523 20.0 380.0
500.0 2.60351755605 5.752778637699085 7.2363816077912135 0.0 21.641387193521886 25.0 475.0
600.0 3.1086035666 4.1062892595048535 5.320391897801344 0.0 19.12734314148432 30.0 570.0
700.0 3.634086661199999 3.2778106112611605 4.311482149971963 0.0 17.11998813948563 35.0 665.0
800.0 4.1514730963 2.746070267459774 3.6723904619459136 0.0 15.508852755552068 40.0 760.0
900.0 4.673983875349999 2.3979363426674127 3.2485069795084813 0.0 14.193881777809912 45.0 855.0
1000.0 5.1978107868 2.1052981039888445 2.9056327227446777 0.0 13.101293569276788 50.0 950.0
1100.0 5.72208520535 1.8528892011057558 2.587569671989543 0.0 12.174044062917831 55.0 1045.0
1200.0 6.2510872075 1.668558296521795 2.3680652388472163 0.0 11.378274799207704 60.0 1140.0
1300.0 6.778227098650001 1.511129887111546 2.1675812858509302 0.0 10.686578759002849 65.0 1235.0
1400.0 7.306531758750002 1.374412170695783 1.998435182925777 0.0 10.07906200902199 70.0 1330.0
1500.0 7.840304523149999 1.2552651982939431 1.8533316341360297 0.0 9.541641346857807 75.0 1425.0
1600.0 8.3735927307 1.156840189644795 1.730472755958202 0.0 9.061961568627815 80.0 1520.0
1700.0 8.904677203050001 1.0539300864829366 1.5898640864600673 0.0 8.635246609636374 85.0 1615.0
1800.0 9.43647473655 0.9765591130167606 1.487723983691296 0.0 8.244515364779378 90.0 1710.0
1900.0 9.9731949202 0.9136541457062652 1.4055489493549025 0.0 7.89014326035822 95.0 1805.0
2000.0 10.50780462045 0.8412157874768473 1.314306682588994 0.0 7.566229955824285 100.0 1900.0
2100.0 11.0448065731 0.7862478629384246 1.2362523067237514 0.0 7.269059346962671 105.0 1995.0
2200.0 11.57888315225 0.738471735914638 1.1678304005475786 0.0 6.995478260240968 110.0 2090.0
2300.0 12.11191129325 0.6938328836540808 1.1095021150495645 0.0 6.7428276107246194 115.0 2185.0
2400.0 12.6427986124 0.6547005206194852 1.076149504515206 0.0 6.508990862425148 120.0 2280.0
2500.0 13.174953443249999 0.6201152145255807 1.0081496295195835 0.0 6.291453635433243 125.0 2375.0
