iter time primal fd fdmin fdavg, lmo1 lmo2
0.0 0.0 76936.03918335043 0.0 0.0 0.0 0.0 0.0
100.0 0.023480866 3.4100081550310186 5.26036841007163 0.0 17.055658899945954 10.0 100.0
200.0 0.05026141130000002 1.2507032317371014 2.467899438369261 0.0 10.517520283335081 20.0 200.0
300.0 0.08115361575 0.5359308125615517 1.097664476940726 0.0 7.675770619598593 30.0 300.0
400.0 0.11361670980000001 0.32128803481080104 0.6459485498893374 0.0 6.090646401421826 40.0 400.0
500.0 0.14761765614999997 0.1981191036535979 0.6151092422501885 0.0 5.023103159090733 50.0 500.0
600.0 0.18416557714999998 0.1354231392534304 0.3016262813636772 0.0 4.31731915749763 60.0 600.0
700.0 0.22203693899999996 0.1060293903717789 0.24130214512995538 0.0 3.780135145243891 70.0 700.0
800.0 0.26117178165000005 0.09394593046613874 0.296235505287572 0.0 3.3518722487477914 80.0 800.0
900.0 0.30155402820000005 0.08282801323170741 0.195592274330653 0.0 3.015991020437636 90.0 900.0
1000.0 0.34205723200000004 0.07470812446107625 0.18205863499027758 0.0 2.73806033468913 100.0 1000.0
1100.0 0.38271423845 0.06613107738632104 0.16033704056264123 0.0 2.516481394361671 110.0 1100.0
1200.0 0.42429658010000004 0.059320172134361394 0.5728836040076509 0.0 2.3281280025634024 120.0 1200.0
1300.0 0.4660639002 0.0529673783042953 0.2428345845402758 0.0 2.162298722824837 130.0 1300.0
1400.0 0.50972052115 0.04839677136035067 0.1185125487546479 0.0 2.0286443445095586 140.0 1400.0
1500.0 0.5540705378000002 0.045297666852482744 0.1181929358295228 0.0 1.908469857765755 150.0 1500.0
1600.0 0.5982845541999999 0.04266984976215017 0.21872755022707485 0.0 1.797520825443852 160.0 1600.0
1700.0 0.64268042925 0.03937838990415938 0.14021048314306847 0.0 1.7025717786448562 170.0 1700.0
1800.0 0.6878472210000002 0.03704865650090819 0.40539374274641593 0.0 1.6170453872804804 180.0 1800.0
1900.0 0.7335811087999999 0.034208528613479124 0.08555008898068801 0.0 1.5386384258935042 190.0 1900.0
2000.0 0.7804759173000001 0.03217743082004228 0.08463555487283467 0.0 1.4676535655903227 200.0 2000.0
2100.0 0.8276684493500002 0.030290471148160292 0.07792842713527395 0.0 1.4061307823921565 210.0 2100.0
2200.0 0.8750743319 0.02885725323614367 0.0736230118228441 0.0 1.3483542279637437 220.0 2200.0
2300.0 0.9236607002999999 0.027620101410333192 0.06964669345609663 0.0 1.29443177152533 230.0 2300.0
2400.0 0.9720130140499998 0.026205076872685095 0.5099487729176491 0.0 1.250140649691505 240.0 2400.0
2500.0 1.0205645051999999 0.02450509950792209 0.6409405008657003 0.0 1.2087630739285913 250.0 2500.0
2600.0 1.07106612625 0.023514557885471122 0.05797120908701475 0.0 1.1664543358531532 260.0 2600.0
