iter time primal d dmin davg lmo1 lmo2
0.0 0.0 354.3324275166518 707847.6816604448 707847.6816604448 707847.6816604448 0.0 0.0
600.0 1.9692987609500001 -16822.990591772494 658009.2070272507 658009.2070272507 682928.4443438477 599.0 1.0
1200.0 3.9385975219000002 -31641.230329385842 614716.9451169106 614716.9451169106 660191.2779348687 1198.0 2.0
1800.0 5.8970332890999995 -45415.1933397595 575187.3000652763 575187.3000652763 638940.2834674706 1797.0 3.0
2400.0 7.83290634495 -58254.64500358518 539107.7478888917 539107.7478888917 618973.7763517548 2396.0 4.0
3000.0 9.789239515350001 -70262.17163589134 506173.45007887855 506173.45007887855 600173.721972942 2995.0 5.0
3600.0 11.74126016305 -81534.16766953543 476132.33086166356 476132.33086166356 582453.5232427594 3594.0 6.0
4200.0 13.690084036550001 -92148.72766363973 448718.2911234201 448718.2911234201 565736.619227842 4193.0 7.0
4800.0 15.636966453 -102179.94614712009 423715.27715239674 423715.27715239674 549956.4701083481 4792.0 8.0
5400.0 17.5590559254 -111695.93838475368 400910.6438629761 400910.6438629761 535051.8874838108 5391.0 9.0
6000.0 19.515168558699997 -120756.74885603678 380102.89003602846 380102.89003602846 520965.61498855794 5990.0 10.0
6600.0 21.4433758455 -129414.70781218291 361112.8862886499 361112.8862886499 507644.55426356563 6589.0 11.0
7200.0 23.39552578875 -137718.75840677563 343783.9757129386 343783.9757129386 495039.8943750558 7188.0 12.0
7800.0 25.325001764550002 -145712.8707937005 327964.60568982776 327964.60568982776 483105.9451832538 7787.0 13.0
8400.0 27.266921214949996 -153437.7056334688 313520.14636792394 313520.14636792394 471800.22526223183 8386.0 14.0
9000.0 29.212934489349994 -160933.11473407852 300326.144051114 300326.144051114 461083.09518653696 8985.0 15.0
9600.0 31.1266318817 -168231.32691911468 288275.0616590437 288275.0616590437 450917.91674374323 9584.0 16.0
10200.0 33.05857876180001 -175365.9504505585 277261.605023113 277261.605023113 441270.3438703749 10183.0 17.0
10800.0 34.987222362800004 -182367.13915906634 267179.13796798064 267179.13796798064 432107.64882288047 10782.0 18.0
10800.0 36.9338817241 -182367.13915906634 267179.13796798064 267179.13796798064 423861.2232801354 11082.0 19.0
