iter time primal d dmin davg lmo1 lmo2
0.0 0.0 354.3324275350576 707847.6816605447 707847.6816605447 707847.6816605447 0.0 0.0
450.0 1.4308382156500001 -12861.73747706662 669697.9657953592 669697.9657953592 688772.823727952 449.0 1.0
900.0 2.8616764313000003 -24223.63367066533 636339.1810564983 636339.1810564983 671294.9428374674 898.0 2.0
1350.0 4.327737407549999 -34975.88611502265 605197.9598342692 605197.9598342692 654770.6970866679 1347.0 3.0
1800.0 5.79734658465 -45168.2567190003 576138.9524442131 576138.9524442131 639044.3481581769 1796.0 4.0
2250.0 7.204408923699999 -54850.0985890707 549016.7437186323 549016.7437186323 624039.7474182528 2245.0 5.0
2700.0 8.6642725401 -64064.06723284968 523700.34993248276 523700.34993248276 609705.5477774284 2694.0 6.0
3150.0 10.136070626049998 -72853.43539937914 500081.3946510694 500081.3946510694 596002.5286366335 3143.0 7.0
3600.0 11.55016573695 -81254.95684900369 478043.53495235863 478043.53495235863 582895.9737828252 3592.0 8.0
4050.0 13.004278986249997 -89304.23994758804 457482.98659629386 457482.98659629386 570354.675064172 4041.0 9.0
4500.0 14.461572894749997 -97031.31654057188 438294.0564554992 438294.0564554992 558349.1642815655 4490.0 10.0
4950.0 15.881925959100002 -104465.29055410993 420392.7095720037 420392.7095720037 546852.7930557686 4939.0 11.0
5400.0 17.32926217825 -111633.99601615596 403690.3107091793 403690.3107091793 535840.2944137233 5388.0 12.0
5850.0 18.78219605335 -118562.23321417518 388096.46971336036 388096.46971336036 525287.164077983 5837.0 13.0
6300.0 20.193388018100002 -125272.10184965981 373538.5811366698 373538.5811366698 515170.5918818955 6286.0 14.0
6750.0 21.654717566799995 -131785.49373688694 359936.97979229974 359936.97979229974 505468.49112629576 6735.0 15.0
7200.0 23.0980913886 -138123.2518858345 347238.805898907 347238.805898907 496160.8625835082 7184.0 16.0
7650.0 24.517024369399998 -144304.73605582566 335383.0869785125 335383.0869785125 487228.7639387862 7633.0 17.0
8100.0 25.972333732400006 -150348.31680636696 324302.8423391673 324302.8423391673 478653.7154335431 8082.0 18.0
8550.0 27.41697263995 -156269.1071331937 313946.9762636074 313946.9762636074 470418.37847504625 8531.0 19.0
9000.0 28.8333924885 -162083.749337127 304263.2055401428 304263.2055401428 462506.227382908 8980.0 20.0
9450.0 30.279666837649994 -167807.24110492895 295204.1297308984 295204.1297308984 454901.58658054395 9429.0 21.0
9900.0 31.73351047635 -173452.21074305451 286725.35355975357 286725.35355975357 447589.5764492052 9878.0 22.0
10350.0 33.14888079755001 -179030.52897480802 278783.3029925631 278783.3029925631 440555.98172184516 10327.0 23.0
10800.0 34.5925876563 -184553.0087882748 271334.3170361282 271334.3170361282 433787.11513441644 10776.0 24.0
10800.0 36.0511199935 -184553.0087882748 271334.3170361282 271334.3170361282 427538.9305921746 11076.0 25.0
