iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.961646616503 2.52005472194342e6 2.52005472194342e6 2.52005472194342e6 0.0 0.0
100.0 0.8678093829 -119165.89132930715 2.179234821137242e6 2.179234821137242e6 2.3437269520063964e6 2690.0 5.0
200.0 1.71857102795 -217088.55241667788 1.901752542857866e6 1.901752542857866e6 2.1913754079777133e6 5380.0 10.0
300.0 2.5606932275999994 -302310.7254453137 1.6725220692518759e6 1.6725220692518759e6 2.0567900999709924e6 8070.0 15.0
400.0 3.4088225880500005 -377622.68461326166 1.4832706882643863e6 1.4832706882643863e6 1.9375704057989363e6 10760.0 20.0
500.0 4.26704119145 -445183.2692175972 1.3271022838531914e6 1.3271022838531914e6 1.8317278700771485e6 13450.0 25.0
600.0 5.1122150656 -506890.0361248932 1.197990416044623e6 1.197990416044623e6 1.737524526744428e6 16140.0 30.0
700.0 5.954005521 -564012.8883794118 1.0913554139957952e6 1.0913554139957952e6 1.6534801817116234e6 18830.0 35.0
800.0 6.804967058650002 -617864.3951145429 1.0030099529835593e6 1.0030099529835593e6 1.5783038566886846e6 21520.0 40.0
900.0 7.664800049399998 -669433.2226726766 929583.769311339 929583.769311339 1.510866817949893e6 24210.0 45.0
1000.0 8.51223781925 -719598.6599007469 868232.3236469968 868232.3236469968 1.4501821404273158e6 26900.0 50.0
1100.0 9.3542456914 -769036.684775984 816632.7571405839 816632.7571405839 1.3953975383947685e6 29590.0 55.0
1200.0 10.203309689349997 -818328.9797651889 772717.4898636683 772717.4898636683 1.3457535670239343e6 32280.0 60.0
1300.0 11.066806979 -868039.089607213 734774.6449460741 734774.6449460741 1.3005861086216662e6 34970.0 65.0
1400.0 11.924496838200001 -918648.9497316722 701239.1644087976 701239.1644087976 1.259301578319871e6 37660.0 70.0
1500.0 12.770354103250002 -970510.0885943633 670864.4669601294 670864.4669601294 1.2213741968074972e6 40350.0 75.0
1600.0 13.612547940999999 -1.0237757218080288e6 642534.2532869449 642534.2532869449 1.1863362229133795e6 43040.0 80.0
1700.0 14.457912897349999 -1.0785743431898146e6 615265.9984270434 615265.9984270434 1.1537653041232973e6 45730.0 85.0
1800.0 15.299858123300003 -1.1349090142139914e6 588243.8174519582 588243.8174519582 1.1232872809145462e6 48420.0 90.0
1900.0 16.14444486625 -1.19268723380641e6 560785.5645965202 560785.5645965202 1.0945653253106417e6 51110.0 95.0
2000.0 16.9882475438 -1.2514800715084847e6 532501.3824913311 532501.3824913311 1.067304531275176e6 53800.0 100.0
2100.0 17.833274224399997 -1.310778519247149e6 503208.917343153 503208.917343153 1.041252351953211e6 56490.0 105.0
2200.0 18.68900379395 -1.3699328070995433e6 472986.5325316422 472986.5325316422 1.0162022490795988e6 59180.0 110.0
2300.0 19.535727597599998 -1.4281427393188279e6 442170.8571378218 442170.8571378218 991992.7891100174 61870.0 115.0
2400.0 20.3797697722 -1.4848177159365467e6 411016.7497868164 411016.7497868164 968500.4352826979 64560.0 120.0
2500.0 21.2246681128 -1.539181971606324e6 380062.97253412043 380062.97253412043 945639.8186451923 67250.0 125.0
2600.0 22.067257298950004 -1.590653934951865e6 349790.34026853007 349790.34026853007 923356.7123627503 69940.0 130.0
2700.0 22.915658272749997 -1.6386721749886528e6 320764.81324677274 320764.81324677274 901625.3947144668 72630.0 135.0
2800.0 23.762625941449997 -1.6830219279105696e6 293303.13961490255 293303.13961490255 880438.2915435492 75320.0 140.0
2900.0 24.629409549050003 -1.7235508956273217e6 267728.4697860709 267728.4697860709 859799.8967181516 78010.0 145.0
3000.0 25.496425459200005 -1.7602524552528493e6 244199.07635284314 244199.07635284314 839721.9135338138 80700.0 150.0
3100.0 26.3543081022 -1.7932838252225686e6 222773.46496531772 222773.46496531772 820216.9757322125 83390.0 155.0
3200.0 27.20147329574999 -1.8229014865334793e6 203395.981036514 203395.981036514 801296.7576619607 86080.0 160.0
3300.0 28.04854737925 -1.8493878089936282e6 185977.8149950757 185977.8149950757 782968.3848449963 88770.0 165.0
3400.0 28.900567711999997 -1.8730005036723271e6 170404.26750429452 170404.26750429452 765235.2424946886 91460.0 170.0
3500.0 29.763056018850005 -1.8939937628704545e6 156558.62580131646 156558.62580131646 748097.1961249233 94150.0 175.0
3600.0 30.607134808450006 -1.9126870052097929e6 144254.22981841947 144254.22981841947 731549.3070923185 96840.0 180.0
3700.0 31.454089547450003 -1.929364257405699e6 133308.81390896096 133308.81390896096 715582.4904792311 99530.0 185.0
3800.0 32.3006766747 -1.9442910933280326e6 123560.06556966873 123560.06556966873 700184.3664697174 102220.0 190.0
3900.0 33.151970446600004 -1.9576717643030607e6 114865.10845108362 114865.10845108362 685339.5151850875 104910.0 195.0
4000.0 34.0182288589 -1.9696797950447972e6 107116.91030973199 107116.91030973199 671031.1551937461 107600.0 200.0
4100.0 34.8887502273 -1.9805052916607144e6 100183.18841025422 100183.18841025422 657241.5139662871 110290.0 205.0
4200.0 35.74476565075 -1.9902885813780762e6 93970.68515864482 93970.68515864482 643951.535756402 112980.0 210.0
4300.0 36.59437002125 -1.9991879333851766e6 88372.03192645514 88372.03192645514 631141.6551163819 115670.0 215.0
4400.0 37.45609762145001 -2.0072770041298415e6 83337.2232179843 83337.2232179843 618792.4957602979 118360.0 220.0
4500.0 38.30095122255001 -2.0146443524648778e6 78807.85385300755 78807.85385300755 606885.2079162783 121050.0 225.0
4600.0 39.148753097749996 -2.0213911702084108e6 74712.57959314802 74712.57959314802 595401.0222934831 123740.0 230.0
4700.0 39.990858191799994 -2.0275880059700918e6 70999.564912927 70999.564912927 584321.7171499976 126430.0 235.0
4800.0 40.83790849054999 -2.0333139503622155e6 67610.30882288104 67610.30882288104 573629.1866357218 129120.0 240.0
4900.0 41.6827299072 -2.0386174996446439e6 64510.470121028906 64510.470121028906 563306.0166442421 131810.0 245.0
5000.0 42.52852477985 -2.043537511992318e6 61670.89471354544 61670.89471354544 553335.5500456572 134500.0 250.0
5100.0 43.37246847280001 -2.0481374195423592e6 59044.88592814348 59044.88592814348 543701.6610357936 137190.0 255.0
5200.0 44.22019134559999 -2.0524362370458872e6 56617.50545580749 56617.50545580749 534388.8439513041 139880.0 260.0
5300.0 45.068826108850004 -2.0564495842358824e6 54379.68864240045 54379.68864240045 525382.6902082742 142570.0 265.0
5400.0 45.9112283139 -2.0602086590801333e6 52310.99374016157 52310.99374016157 516669.45261451206 145260.0 270.0
5500.0 46.758440307449995 -2.0637541976776863e6 50383.88327186906 50383.88327186906 508236.0263137128 147950.0 275.0
5600.0 47.607290952350006 -2.0671123082961433e6 48577.41745122729 48577.41745122729 500069.729424138 150640.0 280.0
5700.0 48.45600771279999 -2.070280876264949e6 46893.76121325198 46893.76121325198 492158.71627720003 153330.0 285.0
5800.0 49.305742368649994 -2.0732776957008794e6 45318.51893911553 45318.51893911553 484491.7203059389 156020.0 290.0
5900.0 50.165349022849995 -2.076114367761036e6 43846.02125045256 43846.02125045256 477058.2004549755 158710.0 295.0
6000.0 51.046804459650005 -2.0788002748982694e6 42470.81498297606 42470.81498297606 469848.1472123493 161400.0 300.0
6100.0 51.904685032649994 -2.0813581659470473e6 41176.72032535327 41176.72032535327 462852.0782763772 164090.0 305.0
6200.0 52.747302981749996 -2.083794882719883e6 39959.07170870287 39959.07170870287 456060.90022201027 166780.0 310.0
6300.0 53.59237739465 -2.086114145363665e6 38813.681444537564 38813.681444537564 449466.0555224922 169470.0 315.0
