iter time primal d dmin davg lmo1 lmo2
0.0 0.0 354.3324275821927 707847.6816606316 707847.6816606316 707847.6816606316 0.0 0.0
301.0 1.7365509808500001 -8989.659183186859 681167.4820069971 681167.4820069971 694507.5818338143 300.0 1.0
602.0 3.4731019617000003 -16842.677944940013 657959.45367976 657959.45367976 682324.8724491295 600.0 2.0
903.0 5.102222538149999 -24402.041953210406 635783.7942663974 635783.7942663974 670689.6029034464 900.0 3.0
1204.0 6.643217691149999 -31684.551121319564 614594.9339689041 614594.9339689041 659470.6691165379 1200.0 4.0
1505.0 8.465534166449999 -38704.60232110223 594352.4479109272 594352.4479109272 648617.6322489361 1500.0 5.0
1806.0 10.10923794375 -45476.45939202167 575012.3847204681 575012.3847204681 638102.5968877265 1800.0 6.0
2107.0 11.743187049100001 -52015.65483187228 556533.2264164006 556533.2264164006 627906.4255788107 2100.0 7.0
2408.0 13.5636617132 -58332.78433141093 538883.843856946 538883.843856946 618015.0276097147 2400.0 8.0
2709.0 15.290477655249996 -64441.59391805921 522021.7774373712 522021.7774373712 608415.7025924802 2700.0 9.0
3010.0 16.74808918825 -70354.4825362047 505915.5050686852 505915.5050686852 599097.5028175898 3000.0 10.0
3311.0 18.472317506450004 -76083.61760091948 490531.9379297424 490531.9379297424 590050.3724102691 3300.0 11.0
3612.0 20.379471035850003 -81638.95058599266 475844.26992744335 475844.26992744335 581265.2876038979 3600.0 12.0
3913.0 22.02388669095 -87030.14431178318 461811.48493197636 461811.48493197636 572732.8731273321 3900.0 13.0
4214.0 23.575484986050007 -92265.83858498576 448407.30943537597 448407.30943537597 564444.502214535 4200.0 14.0
4515.0 25.39217512195 -97355.73566223518 435607.9907684991 435607.9907684991 556392.2202491579 4500.0 15.0
4816.0 27.027613563499994 -102308.68766447739 423385.9274282175 423385.9274282175 548568.3206714555 4800.0 16.0
5117.0 28.67092688225 -107132.63335049094 411713.66797564353 411713.66797564353 540965.284410577 5100.0 17.0
5418.0 30.303267919100005 -111834.95294062304 400567.1742337062 400567.1742337062 533575.9101907418 5400.0 18.0
5719.0 32.12578871515001 -116423.0233554052 389922.59120876755 389922.59120876755 526393.244241643 5700.0 19.0
6020.0 33.8492971423 -120903.40754116463 379756.643753086 379756.643753086 519410.54898028314 6000.0 20.0
6321.0 35.30290735645 -125282.65663640978 370043.60365355003 370043.60365355003 512621.1423745226 6300.0 21.0
6622.0 37.20086640124999 -129567.12106783273 360765.3224743738 360765.3224743738 506018.7154223422 6600.0 22.0
6923.0 38.83686950855 -133763.73005401023 351900.3471402724 351900.3471402724 499597.11674392264 6900.0 23.0
7224.0 40.565669697749996 -137877.77570777174 343430.81238130655 343430.81238130655 493350.464569418 7200.0 24.0
7525.0 42.106899988150005 -141914.14185190838 335338.3657905016 335338.3657905016 487273.07615484425 7500.0 25.0
7826.0 44.018499331200005 -145878.59143729453 327607.7631849927 327607.7631849927 481359.54604484973 7800.0 26.0
8127.0 45.565271543099996 -149775.42966869712 320222.5487388828 320222.5487388828 475604.65328392235 8100.0 27.0
8428.0 47.108538285 -153609.5856917021 313164.6737166836 313164.6737166836 470003.27467815543 8400.0 28.0
8729.0 49.01972765855001 -157386.35855026162 306419.9840844899 306419.9840844899 464550.4983250333 8700.0 29.0
9030.0 50.75387606325001 -161110.1084092574 299975.1610051968 299975.1610051968 459241.61647600634 9000.0 30.0
9331.0 52.39436916125 -164784.37245447043 293819.2896641586 293819.2896641586 454072.1687631361 9300.0 31.0
9632.0 53.75405510830001 -168413.9379268876 287933.72742112976 287933.72742112976 449037.670540651 9600.0 32.0
9933.0 55.93588098759999 -172003.23488712191 282307.33385029656 282307.33385029656 444133.8371085818 9900.0 33.0
10234.0 57.390865849099995 -175555.18671369407 276928.77527626336 276928.77527626336 439356.5496276584 10200.0 34.0
10535.0 58.941293831650015 -179073.08151578472 271781.13979573315 271781.13979573315 434701.67713232717 10500.0 35.0
10535.0 60.940016983650004 -179073.08151578472 271781.13979573315 271781.13979573315 430298.4193664733 10800.0 36.0
