iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -31.078745252627904 45884.82171917263 45884.82171917263 45884.82171917263 0.0 0.0
101.0 0.06805858335000001 -1177.5592030296898 42723.59422104106 42723.59422104106 44304.20797010684 100.0 1.0
202.0 0.13611716670000001 -2035.0981403861456 40222.431205375295 40222.431205375295 42943.61571519633 200.0 2.0
303.0 0.189160976 -2834.5041568103175 37920.43961007963 37920.43961007963 41687.82168891715 300.0 3.0
404.0 0.24323971805000003 -3585.4726925009554 35795.741776699186 35795.741776699186 40509.40570647355 400.0 4.0
505.0 0.2997835205 -4292.221744370902 33835.592508679976 33835.592508679976 39397.1035068413 500.0 5.0
606.0 0.35473305389999993 -4958.916192512282 32027.09576291658 32027.09576291658 38344.24525770919 600.0 6.0
707.0 0.40776474050000006 -5589.955509801419 30358.50615779215 30358.50615779215 37346.027870219565 700.0 7.0
808.0 0.47482090085000006 -6189.0928289114 28818.316233706813 28818.316233706813 36398.50435505148 800.0 8.0
909.0 0.5262846643000001 -6759.03428968714 27398.238481714267 27398.238481714267 35498.47776771776 900.0 9.0
1010.0 0.58705569285 -7302.845218197535 26086.308854337778 26086.308854337778 34642.826048319585 1000.0 10.0
1111.0 0.6437896329 -7822.898081642207 24874.38685097457 24874.38685097457 33828.78944854083 1100.0 11.0
1212.0 0.69678061965 -8321.820684336957 23756.1830029532 23756.1830029532 33053.97356811101 1200.0 12.0
1313.0 0.7575639756499999 -8802.1994905992 22724.719768292343 22724.719768292343 32316.16972526682 1300.0 13.0
1414.0 0.8143977639000001 -9265.950552934146 21771.531717547143 21771.531717547143 31613.19385808551 1400.0 14.0
1515.0 0.8674769815 -9715.25306249847 20891.20939007859 20891.20939007859 30943.06982883508 1500.0 15.0
1616.0 0.9196595208000001 -10151.18267765157 20078.83449505784 20078.83449505784 30303.9971621423 1600.0 16.0
1717.0 0.9797466629499999 -10575.971534492313 19327.403501844972 19327.403501844972 29694.186403236894 1700.0 17.0
1818.0 1.0304342894000005 -10991.21136293932 18633.125838340224 18633.125838340224 29112.025320873916 1800.0 18.0
1919.0 1.0882438844500002 -11398.173731586146 17990.606189959053 17990.606189959053 28555.954364328172 1900.0 19.0
2020.0 1.1549768991499998 -11798.313520268734 17396.69331018678 17396.69331018678 28024.56098079763 2000.0 20.0
2121.0 1.20768341965 -12192.880945521563 16845.694566663165 16845.694566663165 27516.43068924606 2100.0 21.0
2222.0 1.27190773455 -12583.068279684721 16333.558911230128 16333.558911230128 27030.218872810587 2200.0 22.0
2323.0 1.3413305392 -12969.485888763731 15858.041862528213 15858.041862528213 26564.711497382155 2300.0 23.0
2424.0 1.3948811412000004 -13353.706841654825 15415.046434329062 15415.046434329062 26118.724894860028 2400.0 24.0
2525.0 1.46148213355 -13736.788310385415 15000.977284839439 15000.977284839439 25691.119217551546 2500.0 25.0
2626.0 1.5133465121 -14118.937939242285 14614.506514343526 14614.506514343526 25280.874302617918 2600.0 26.0
2727.0 1.5725200940500002 -14501.493023132763 14252.907349717754 14252.907349717754 24887.01834001434 2700.0 27.0
2828.0 1.6258182580500002 -14884.80331548196 13914.698021443683 13914.698021443683 24508.66246696018 2800.0 28.0
2929.0 1.6813721193000002 -15270.283168632788 13596.485320621345 13596.485320621345 24144.92322874889 2900.0 29.0
3030.0 1.7338830252000001 -15658.910943137307 13295.199233148418 13295.199233148418 23794.932132116614 3000.0 30.0
3131.0 1.79884336185 -16051.526761082394 13008.747982642102 13008.747982642102 23457.863877445536 3100.0 31.0
3232.0 1.8500973794500002 -16445.695332487423 12736.946220353419 12736.946220353419 23132.98758480638 3200.0 32.0
3333.0 1.9046724609 -16843.133525822646 12476.838534640436 12476.838534640436 22819.571436272086 3300.0 33.0
3434.0 1.965540851 -17244.02057767281 12226.476598282974 12226.476598282974 22516.91158375811 3400.0 34.0
3535.0 2.0202783582999997 -17647.971033477406 11984.554331374893 11984.554331374893 22224.346104525244 3500.0 35.0
3636.0 2.0727301402 -18054.473797033137 11750.669859307876 11750.669859307876 21941.27377357342 3600.0 36.0
3737.0 2.15836265385 -18466.553685020113 11521.392692711548 11521.392692711548 21667.066376708633 3700.0 37.0
3838.0 2.2114473017000003 -18884.144941398998 11295.203379119388 11295.203379119388 21401.121171642244 3800.0 38.0
