iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.961646508271 2.5200547219435973e6 2.5200547219435973e6 2.5200547219435973e6 0.0 0.0
501.0 3.7664046151499995 -26728.38536724515 2.4501676512415484e6 2.4501676512415484e6 2.485111186592573e6 500.05 0.95
1002.0 7.532809230299999 -48986.64180838468 2.384933993466325e6 2.384933993466325e6 2.4517187888838234e6 1000.15 1.85
1503.0 11.13808890385 -70586.95901414419 2.321907252829752e6 2.321907252829752e6 2.4192659048703057e6 1499.85 3.15
2004.0 14.708732222450001 -91136.6166335371 2.2619116243931735e6 2.2619116243931735e6 2.3877950487748794e6 1999.6 4.4
2505.0 18.27722099175 -111148.25457527985 2.203960123022164e6 2.203960123022164e6 2.35715589448276e6 2499.2 5.8
3006.0 21.84416196345 -130898.29953681184 2.1473281133722765e6 2.1473281133722765e6 2.327180497181263e6 2999.0 7.0
3507.0 25.407863949899998 -149746.37195789034 2.0935768274392516e6 2.0935768274392516e6 2.2979800384635115e6 3498.85 8.15
4008.0 28.97341655555 -168116.97201291315 2.0414771592752864e6 2.0414771592752864e6 2.269479718553709e6 3998.55 9.45
4509.0 32.5354416515 -186072.45874773187 1.9909908372098182e6 1.9909908372098182e6 2.2416308304193197e6 4498.5 10.5
5010.0 36.09604195435 -203626.79822793303 1.942089572029601e6 1.942089572029601e6 2.2143998069293452e6 4999.0 11.0
5511.0 39.6524822675 -220626.39965833133 1.8951071625024495e6 1.8951071625024495e6 2.187792086560437e6 5499.35 11.65
6012.0 43.22668142165 -237130.8663966198 1.8500622007880316e6 1.8500622007880316e6 2.1618128645779444e6 5999.45 12.55
6513.0 46.7841675109 -253390.59455009582 1.8061937642097953e6 1.8061937642097953e6 2.136411500265934e6 6499.25 13.75
7014.0 50.35961614315 -269290.4932834165 1.7636774940650251e6 1.7636774940650251e6 2.1115625665192064e6 6999.6 14.4
7515.0 53.91413615284999 -284634.40202945034 1.7230369231722008e6 1.7230369231722008e6 2.0872797138100187e6 7499.85 15.15
8016.0 57.470635352600006 -299706.6114852235 1.6836305978234217e6 1.6836305978234217e6 2.0635356481637482e6 7999.8 16.2
8517.0 61.023761845349995 -314425.9146864878 1.6456478933036295e6 1.6456478933036295e6 2.0403196617826307e6 8500.05 16.95
9018.0 64.58068014185 -328803.47390340443 1.6091804261304098e6 1.6091804261304098e6 2.0176281230640926e6 8999.9 18.1
9519.0 68.13891904649999 -342855.24158791156 1.573875929211924e6 1.573875929211924e6 1.995440513371484e6 9499.9 19.1
10020.0 71.6890527503 -356627.88364064234 1.5397013823274919e6 1.5397013823274919e6 1.9737386499884366e6 10000.25 19.75
10521.0 75.25813243989998 -370129.44921705464 1.5067028337050332e6 1.5067028337050332e6 1.9525097492482818e6 10500.4 20.6
10521.0 78.8350895066 -370129.44921705464 1.5067028337050332e6 1.5067028337050332e6 1.9331268398768362e6 11000.4 21.6
