iter time primal d dmin davg lmo1 lmo2
0.0 0.0 354.3324275334511 707847.6816606321 707847.6816606321 707847.6816606321 0.0 0.0
301.0 1.0460360125000001 -8989.659183187501 681167.482006995 681167.482006995 694507.5818338136 300.0 1.0
602.0 2.0920720250000002 -16842.67794494061 657959.4536797579 657959.4536797579 682324.8724491283 600.0 2.0
903.0 3.16425997375 -24402.041953210963 635783.7942663953 635783.7942663953 670689.602903445 900.0 3.0
1204.0 4.20429696785 -31684.551121320088 614594.933968902 614594.933968902 659470.6691165364 1200.0 4.0
1505.0 5.2750642041 -38704.60232110271 594352.4479109255 594352.4479109255 648617.6322489346 1500.0 5.0
1806.0 6.311894468699999 -45476.459392022116 575012.3847204664 575012.3847204664 638102.5968877248 1800.0 6.0
2107.0 7.362106734449999 -52015.654831872685 556533.226416399 556533.226416399 627906.4255788091 2100.0 7.0
2408.0 8.400854946399999 -58332.78433141131 538883.8438569446 538883.8438569446 618015.027609713 2400.0 8.0
2709.0 9.437148032 -64441.59391805958 522021.7774373697 522021.7774373697 608415.7025924787 2700.0 9.0
3010.0 10.496877396950001 -70354.48253620502 505915.50506868365 505915.50506868365 599097.5028175883 3000.0 10.0
3311.0 11.549253056249999 -76083.61760091977 490531.937929741 490531.937929741 590050.3724102677 3300.0 11.0
3612.0 12.59381777055 -81638.95058599295 475844.2699274422 475844.2699274422 581265.2876038965 3600.0 12.0
3913.0 13.63630647285 -87030.14431178343 461811.4849319754 461811.4849319754 572732.8731273307 3900.0 13.0
4214.0 14.6905978716 -92265.83858498596 448407.30943537515 448407.30943537515 564444.5022145337 4200.0 14.0
4515.0 15.717925836000001 -97355.73566223538 435607.99076849816 435607.99076849816 556392.2202491565 4500.0 15.0
4816.0 16.74109100015 -102308.68766447755 423385.92742821656 423385.92742821656 548568.3206714541 4800.0 16.0
5117.0 17.801271520349996 -107132.63335049109 411713.66797564283 411713.66797564283 540965.2844105758 5100.0 17.0
5418.0 18.835692689100004 -111834.95294062319 400567.1742337055 400567.1742337055 533575.9101907404 5400.0 18.0
5719.0 19.8668020749 -116423.02335540534 389922.5912087669 389922.5912087669 526393.2442416417 5700.0 19.0
6020.0 20.912354286850004 -120903.4075411647 379756.64375308534 379756.64375308534 519410.5489802819 6000.0 20.0
6321.0 21.943772379300004 -125282.6566364099 370043.6036535493 370043.6036535493 512621.14237452135 6300.0 21.0
6622.0 22.9941561013 -129567.12106783284 360765.32247437316 360765.32247437316 506018.715422341 6600.0 22.0
6923.0 24.000498511250004 -133763.73005401023 351900.3471402718 351900.3471402718 499597.1167439215 6900.0 23.0
7224.0 25.0543899281 -137877.77570777183 343430.8123813061 343430.8123813061 493350.4645694169 7200.0 24.0
7525.0 26.101677173600002 -141914.1418519084 335338.3657905011 335338.3657905011 487273.0761548432 7500.0 25.0
7826.0 27.12743438855 -145878.59143729456 327607.7631849923 327607.7631849923 481359.54604484874 7800.0 26.0
8127.0 28.17156591615 -149775.42966869712 320222.54873888235 320222.54873888235 475604.65328392136 8100.0 27.0
8428.0 29.21618685315 -153609.58569170214 313164.6737166831 313164.6737166831 470003.2746781545 8400.0 28.0
8729.0 30.261312910650002 -157386.35855026162 306419.9840844895 306419.9840844895 464550.4983250323 8700.0 29.0
9030.0 31.276360976350002 -161110.1084092574 299975.16100519645 299975.16100519645 459241.61647600535 9000.0 30.0
9331.0 32.3459026615 -164784.37245447052 293819.28966415825 293819.28966415825 454072.16876313515 9300.0 31.0
9632.0 33.38419514485 -168413.9379268876 287933.7274211295 287933.7274211295 449037.67054065014 9600.0 32.0
9933.0 34.420748344699994 -172003.2348871219 282307.3338502964 282307.3338502964 444133.83710858086 9900.0 33.0
10234.0 35.44679590555 -175555.18671369404 276928.77527626307 276928.77527626307 439356.5496276575 10200.0 34.0
10535.0 36.51813422945 -179073.08151578467 271781.139795733 271781.139795733 434701.6771323263 10500.0 35.0
10535.0 37.536668619850005 -179073.08151578467 271781.139795733 271781.139795733 430298.4193664724 10800.0 36.0
