iter time primal fd fdmin fdavg, lmo1 lmo2
0.0 0.0 1.929171132070663e6 0.0 0.0 0.0 0.0 0.0
100.0 0.6685369019500002 31.593125396704085 36.260433940623955 0.0 79904.39582649143 50.0 50.0
200.0 1.30973978475 25.584439181249643 29.69674057352857 0.0 40363.75089298547 100.0 100.0
300.0 1.95564421075 22.341735587165438 27.585187183646706 0.0 27007.738331264612 150.0 150.0
400.0 2.60393891035 14.839795051286188 18.066924462597886 0.0 20295.790089344733 200.0 200.0
500.0 3.2617164739500004 13.31539988023819 16.293997594215945 0.0 16256.216591269516 250.0 250.0
600.0 3.92335052265 11.25510120634925 14.010709944256664 0.0 13558.363294447528 300.0 300.0
700.0 4.594906577249999 9.259995915626455 11.71780432368055 0.0 11628.799076586376 350.0 350.0
800.0 5.2725392717499995 7.458737199091871 9.631981194497694 0.0 10180.156181580895 400.0 400.0
900.0 5.962624638099999 5.9723510545405585 7.817593124206004 0.0 9052.493939782154 450.0 450.0
1000.0 6.66909558815 5.029515312960047 6.669973482719355 0.0 8149.76912544257 500.0 500.0
1100.0 7.391675850299999 4.359452164299946 5.852277339898338 0.0 7410.790823644156 550.0 550.0
1200.0 8.135063816899999 3.90023595585872 5.297601810266427 0.0 6794.7148976644075 600.0 600.0
1300.0 8.89524808275 3.5132647842721965 4.8277030062874715 0.0 6273.234756323244 650.0 650.0
1400.0 9.6715186906 3.211134171656808 4.46617280225306 0.0 5826.1164843967235 700.0 700.0
1500.0 10.4621469843 2.9502504934999356 4.150325862020884 0.0 5438.512418554465 750.0 750.0
1600.0 11.266259635199997 2.7134487274958574 3.859802016497472 0.0 5099.279345740684 800.0 800.0
1700.0 12.085159744450005 2.5103063081073342 3.6117893827408247 0.0 4799.89341912468 850.0 850.0
1800.0 12.92270234595 2.324279099888615 3.3811900738378604 0.0 4533.722505349913 900.0 900.0
1900.0 13.778346008900002 2.154775304734113 3.171133205058748 0.0 4295.528505676655 950.0 950.0
2000.0 14.655559591549997 2.002046472426714 2.978772164235553 0.0 4081.1200662521055 1000.0 1000.0
2100.0 15.555199478399999 1.8624019374690648 2.801269305192567 0.0 3887.1032226223483 1050.0 1050.0
2200.0 16.476893467900002 1.7370776183711794 2.6413636132051006 0.0 3710.7006621740734 1100.0 1100.0
2300.0 17.424907275000002 1.6225343382661463 2.493509199396076 0.0 3549.617430711459 1150.0 1150.0
2400.0 18.4079099398 1.518999050375839 2.358856538641711 0.0 3401.9407722220662 1200.0 1200.0
2500.0 19.42590065425 1.4252386911558463 2.2365949837578265 0.0 3266.0636621819644 1250.0 1250.0
2600.0 20.47915277995 1.340693088371886 2.1256073397547377 0.0 3140.6261218103796 1300.0 1300.0
2700.0 21.549564979 1.2619766886919397 2.0209456812434836 0.0 3024.469402662012 1350.0 1350.0
2800.0 22.6474219294 1.1903655565183886 1.925136496311111 0.0 2916.6000798113855 1400.0 1400.0
2900.0 23.76295527865 1.1253641013119924 1.8376996172677096 0.0 2816.1617572412792 1450.0 1450.0
3000.0 24.915135177000003 1.0656099432344048 1.756516568469125 0.0 2722.4120506236063 1500.0 1500.0
3100.0 26.089638428750003 1.0092440559551783 1.6791158096732315 0.0 2634.704267474357 1550.0 1550.0
3200.0 27.29047910645 0.9578851527360766 1.6081470024778959 0.0 2552.4724792701613 1600.0 1600.0
3300.0 28.52404429105 0.9102508788897623 1.5417043394135943 0.0 2475.219342510901 1650.0 1650.0
3400.0 29.791609082100006 0.8662858237494918 1.4799973688442154 0.0 2402.5059478011185 1700.0 1700.0
3500.0 31.087903811399997 0.8265966435906458 1.4243081804776077 0.0 2333.943564819497 1750.0 1750.0
3600.0 32.429457097500006 0.7901466949575635 1.37322712868287 0.0 2269.186607860377 1800.0 1800.0
3700.0 33.820486222599996 0.7567440507800746 1.3261963203627283 0.0 2207.9268083802053 1850.0 1850.0
