iter time primal d dmin davg lmo1 lmo2
0.0 0.0 354.33242747761363 707847.6816604293 707847.6816604293 707847.6816604293 0.0 0.0
100.0 0.36379093855 -43191.05820431135 581150.8971078903 581150.8971078903 641563.6933777814 1690.0 5.0
200.0 0.7158802244999999 -77841.42898501086 485170.2139397088 485170.2139397088 587004.1161753983 3380.0 10.0
300.0 1.0660814253 -106904.86286600893 411319.398362483 411319.398362483 540840.7211695863 5070.0 15.0
400.0 1.4138372180999998 -132023.9392283762 354460.50747339235 354460.50747339235 501593.6095203314 6760.0 20.0
500.0 1.7629049304 -154315.2912477762 310693.5213083889 310693.5213083889 468073.1268748195 8450.0 25.0
600.0 2.11017048075 -174822.71160003133 276855.62958289444 276855.62958289444 439303.661794558 10140.0 30.0
700.0 2.4594187498499993 -194246.543758627 250535.60271394177 250535.60271394177 414474.132185775 11830.0 35.0
800.0 2.8080924422499995 -213065.60410396202 229897.12000220627 229897.12000220627 392924.8555681174 13520.0 40.0
900.0 3.1614963373499996 -231821.47484318833 213345.90107560856 213345.90107560856 374094.50036037737 15210.0 45.0
1000.0 3.5270385556500004 -250783.61427636337 199744.99743931016 199744.99743931016 357516.4757794309 16900.0 50.0
1100.0 3.8720254563000003 -270359.75703890907 187959.3308685849 187959.3308685849 342788.4486316959 18590.0 55.0
1200.0 4.22202375935 -290660.4918226876 177235.1170469594 177235.1170469594 329565.039074319 20280.0 60.0
1300.0 4.5706565898000004 -311742.9689365282 166915.02033097562 166915.02033097562 317555.3370321527 21970.0 65.0
1400.0 4.924782139 -333507.22356463317 156499.63884233416 156499.63884233416 306508.24126933224 23660.0 70.0
1500.0 5.2726877471 -355693.8503838455 145736.01484861292 145736.01484861292 296216.4849257568 25350.0 75.0
1600.0 5.635450018099999 -377899.66698691825 134554.63471325196 134554.63471325196 286515.5322865939 27040.0 80.0
1700.0 5.9843305842 -399686.5941956332 123082.14059939943 123082.14059939943 277281.46214258205 28730.0 85.0
