iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -31.078745254476246 45884.82171917094 45884.82171917094 45884.82171917094 0.0 0.0
101.0 0.06181238254999999 -1129.7828146706686 42836.833891451286 42836.833891451286 44360.82780531111 99.65 1.35
202.0 0.12362476509999998 -2023.9298992844501 40299.419465820625 40299.419465820625 43007.02502548095 199.45 2.55
303.0 0.17392480795 -2833.082716721696 37993.4960760268 37993.4960760268 41753.64278811742 299.5 3.5
404.0 0.22772626779999997 -3586.009609096155 35879.74422896275 35879.74422896275 40578.863076286485 399.8 4.2
505.0 0.2775107835 -4299.271648665653 33925.016031082814 33925.016031082814 39469.88856875254 500.0 5.0
606.0 0.32826000720000004 -4965.687218239783 32127.963420272725 32127.963420272725 38421.04211896971 599.65 6.35
707.0 0.37981182230000005 -5606.177079278113 30452.410990879485 30452.410990879485 37424.963227958426 699.85 7.15
808.0 0.43018953719999997 -6215.004016628666 28910.42059301032 28910.42059301032 36478.902935186416 799.8 8.2
909.0 0.4812027113499999 -6789.334685326173 27491.048478491874 27491.048478491874 35580.11748951696 899.65 9.35
1010.0 0.53272590835 -7332.444796550475 26199.23966915034 26199.23966915034 34727.310414938176 999.75 10.25
1111.0 0.5833266293499999 -7847.945825572844 25005.109989909633 25005.109989909633 33917.1270461858 1099.65 11.35
1212.0 0.6345967483999999 -8352.080446255972 23882.18478818972 23882.18478818972 33145.20841095533 1199.95 12.05
1313.0 0.68596181355 -8836.943675882552 22845.287760755247 22845.287760755247 32409.499793083894 1299.85 13.15
1414.0 0.7355210208 -9307.574344274104 21881.988101921354 21881.988101921354 31707.665680339724 1399.35 14.65
1515.0 0.7864289608 -9773.36607043185 20998.945872584016 20998.945872584016 31038.37069235499 1499.15 15.85
1616.0 0.83925271755 -10211.985912515476 20184.783435592493 20184.783435592493 30399.924383133668 1598.9 17.1
1717.0 0.8872648534500002 -10638.029571239496 19441.46765489973 19441.46765489973 29791.121231565117 1698.55 18.45
1818.0 0.94145314545 -11067.33847903567 18742.307062763815 18742.307062763815 29209.604696365048 1798.6 19.4
1919.0 0.9906419599999998 -11478.699988745342 18097.784907202335 18097.784907202335 28654.013706906913 1898.1 20.9
2020.0 1.04257804965 -11885.109594081794 17491.88856825014 17491.88856825014 28122.483938399448 1998.2 21.8
2121.0 1.0946789698 -12278.616712607993 16940.169089499916 16940.169089499916 27614.1968998131 2098.15 22.85
2222.0 1.1440927653 -12669.511754224834 16434.0918417574 16434.0918417574 27128.10537554981 2197.85 24.15
2323.0 1.19866915535 -13065.358367361134 15951.34069371788 15951.34069371788 26662.40684714015 2297.95 25.05
2424.0 1.2489522132500002 -13449.526393976199 15508.722205167584 15508.722205167584 26216.25946146125 2397.85 26.15
2525.0 1.2972441784500002 -13840.956965964138 15086.410659482437 15086.410659482437 25788.188353692836 2497.6 27.4
2626.0 1.3501793778000002 -14241.037370249283 14690.320545779794 14690.320545779794 25377.156212659018 2597.45 28.55
2727.0 1.4009499792000002 -14620.613738925298 14332.570049523838 14332.570049523838 24982.706706832763 2697.3 29.7
2828.0 1.4537257407 -15006.437754119503 13990.28112310239 13990.28112310239 24603.657548773095 2797.2 30.8
2929.0 1.5020447392 -15392.791500109091 13667.51237187226 13667.51237187226 24239.119376209735 2897.25 31.75
3030.0 1.5536624539500001 -15781.603664306025 13355.899513017623 13355.899513017623 23888.04776771967 2997.7 32.3
3131.0 1.6067993627 -16164.075236764325 13063.254743626583 13063.254743626583 23549.772985716758 3097.3 33.7
