iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.9616465316076 2.5200547219435917e6 2.5200547219435917e6 2.5200547219435917e6 0.0 0.0
750.0 8.69600685165 -38576.73166324508 2.4158940797305396e6 2.4158940797305396e6 2.4679744008370657e6 749.0 1.0
1500.0 17.3920137033 -70560.04831327448 2.321883331911702e6 2.321883331911702e6 2.4192773778619445e6 1498.0 2.0
2250.0 25.78373172175001 -101193.74901581749 2.232750003961433e6 2.232750003961433e6 2.3726455343868164e6 2247.0 3.0
3000.0 33.69420779995 -130566.41271920704 2.1482541106384424e6 2.1482541106384424e6 2.327767249637142e6 2996.0 4.0
3750.0 42.548823518999995 -158761.03017799137 2.0681500402203742e6 2.0681500402203742e6 2.284497714734347e6 3745.0 5.0
4500.0 50.215213957299994 -185859.6425721333 1.9922079079237604e6 1.9922079079237604e6 2.2427420280471207e6 4494.0 6.0
5250.0 58.72887310990001 -211937.96073075235 1.9202163812528006e6 1.9202163812528006e6 2.2024263221978303e6 5243.0 7.0
6000.0 66.97773206920002 -237060.0178574755 1.8519733776307385e6 1.8519733776307385e6 2.1634871061348203e6 5992.0 8.0
6750.0 74.8565635737 -261294.29900197298 1.7872787804564051e6 1.7872787804564051e6 2.125866273566979e6 6741.0 9.0
7500.0 83.40963482139999 -284702.5075575177 1.7259525134719112e6 1.7259525134719112e6 2.0895104771947002e6 7490.0 10.0
8250.0 91.0704019194 -307341.0259042698 1.6678322211591767e6 1.6678322211591767e6 2.054370622525073e6 8239.0 11.0
9000.0 99.65329995105 -329263.14903823694 1.612740262638192e6 1.612740262638192e6 2.0203990563799283e6 8988.0 12.0
9750.0 107.83641644709999 -350519.511363265 1.560508710889909e6 1.560508710889909e6 1.9875497459877841e6 9737.0 13.0
10500.0 115.66564195015 -371159.60238620837 1.5109935664533246e6 1.5109935664533246e6 1.95577933401882e6 10486.0 14.0
11250.0 124.24321356949997 -391227.7208931059 1.4640471629801167e6 1.4640471629801167e6 1.925046073328901e6 11235.0 15.0
11250.0 131.6970101914 -391227.7208931059 1.4640471629801167e6 1.4640471629801167e6 1.897928490367208e6 11735.0 16.0
