iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.961646621703 2.5200547219433542e6 2.5200547219433542e6 2.5200547219433542e6 0.0 0.0
501.0 7.27536135695 -27618.607752878645 2.4482731230832106e6 2.4482731230832106e6 2.4841639225132824e6 500.0 1.0
1002.0 14.5507227139 -49423.79762092673 2.3837697223379156e6 2.3837697223379156e6 2.4506991891214936e6 1000.0 2.0
1503.0 21.0600949485 -70599.63698385414 2.3214803341947403e6 2.3214803341947403e6 2.418394475389805e6 1500.0 3.0
2004.0 28.074974613650006 -91170.01955995732 2.26133236119524e6 2.26133236119524e6 2.3869820525508923e6 2000.0 4.0
2505.0 34.5016043026 -111162.30741661487 2.203249454867919e6 2.203249454867919e6 2.3563599529370633e6 2500.0 5.0
3006.0 41.053712526350004 -130599.42774494083 2.147167827172993e6 2.147167827172993e6 2.3264753635421963e6 3000.0 6.0
3507.0 47.73845361645001 -149508.99421401147 2.0930158604501155e6 2.0930158604501155e6 2.2972929256556863e6 3500.0 7.0
4008.0 54.095327316150005 -167911.4963106765 2.0407384500814956e6 2.0407384500814956e6 2.2687868728141095e6 4000.0 8.0
4509.0 60.92068539100002 -185826.89226723014 1.9902616216409977e6 1.9902616216409977e6 2.240934347696799e6 4500.0 9.0
5010.0 67.0421851888 -203277.9043498199 1.9415242610058326e6 1.9415242610058326e6 2.213715248906711e6 5000.0 10.0
5511.0 74.13158253195 -220285.08775460353 1.8944694166933824e6 1.8944694166933824e6 2.1871114295556e6 5500.0 11.0
6012.0 80.12683293755 -236865.31741202172 1.84904218807366e6 1.84904218807366e6 2.161106103287759e6 6000.0 12.0
6513.0 87.30674181340001 -253038.22820060066 1.8051905255948813e6 1.8051905255948813e6 2.135683562023982e6 6500.0 13.0
7014.0 93.41189022599998 -268824.24072589714 1.762859243170645e6 1.762859243170645e6 2.1108286074337596e6 7000.0 14.0
7515.0 100.89491981929999 -284239.3964896759 1.7219928828692236e6 1.7219928828692236e6 2.086526374648476e6 7500.0 15.0
8016.0 107.0345036874 -299299.08668481186 1.682545495543773e6 1.682545495543773e6 2.0627627935246697e6 8000.0 16.0
8517.0 114.45021759014999 -314019.6897862147 1.6444629984081208e6 1.6444629984081208e6 2.039523916018195e6 8500.0 17.0
9018.0 120.7450733158 -328416.17949763045 1.6076955662637032e6 1.6076955662637032e6 2.0167961081363799e6 9000.0 18.0
9519.0 127.7127704128 -342503.64211221493 1.5722027264413869e6 1.5722027264413869e6 1.99456643905163e6 9500.0 19.0
10020.0 134.13316681035002 -356295.5328057199 1.5379403964813142e6 1.5379403964813142e6 1.9728223417863767e6 10000.0 20.0
10521.0 141.00979095194998 -369803.9450644924 1.504868867167055e6 1.504868867167055e6 1.9515517293036804e6 10500.0 21.0
10521.0 147.62228699630003 -369803.9450644924 1.504868867167055e6 1.504868867167055e6 1.9321307352977402e6 11000.0 22.0
