iter time primal fd fdmin fdavg, lmo1 lmo2
0.0 0.0 695081.0801642935 0.0 0.0 0.0 0.0 0.0
100.0 0.3195938803499999 13.157594704237406 15.759695513217618 0.0 Inf 50.5 49.5
200.0 0.6432431191 10.615512054072074 12.92080172579615 0.0 Inf 99.05 100.95
300.0 0.9852101119999999 8.949562187375328 11.137960235883765 0.0 Inf 149.6 150.4
400.0 1.3402733280499999 7.422547162196724 9.435411312419827 0.0 Inf 200.35 199.65
500.0 1.7143303774499998 6.232906020116318 8.092624671408034 0.0 Inf 251.25 248.75
600.0 2.0923767014 5.092248355084523 6.806815982800583 0.0 Inf 298.0 302.0
700.0 2.5127041636999996 4.278064599417031 5.837412681784814 0.0 Inf 349.95 350.05
800.0 2.9605683698 3.5582325682154297 4.990823859499671 0.0 Inf 399.75 400.25
900.0 3.4523826307 3.0055259386425526 4.299156234710819 0.0 Inf 450.15 449.85
1000.0 3.9671735993000006 2.4555082421814793 6.763480629961975 0.0 Inf 498.0 502.0
1100.0 4.549526444300001 2.109470872284931 3.1687260621801157 0.0 Inf 548.0 552.0
1200.0 5.1968982206500005 1.8275318173576225 2.8083619374679083 0.0 Inf 598.8 601.2
1300.0 5.8695162636500005 1.572090565542215 2.4704640126782826 0.0 Inf 648.55 651.45
1400.0 6.593397392449999 1.3641071152627635 2.1961017693905047 0.0 Inf 698.3 701.7
1500.0 7.3564271803 1.2043677117306633 1.9671355826993548 0.0 Inf 748.0 752.0
1600.0 8.15309457905 1.061915383882138 1.7648562112001351 0.0 Inf 798.5 801.5
1700.0 8.961024882050001 0.93230936906299 1.576749865121802 0.0 Inf 847.05 852.95
1800.0 9.806611857999998 0.7684302019878781 1.4164317422947401 0.0 Inf 897.15 902.85
1900.0 10.63888958015 0.660175317338419 1.159813558764639 0.0 Inf 945.4 954.6
2000.0 11.557869776050001 0.5693661344570198 1.0250906517448957 0.0 Inf 996.0 1004.0
2100.0 12.518642382649999 0.5049310385957615 0.9216441683780205 0.0 Inf 1045.95 1054.05
2200.0 13.5298156573 0.46369622705528524 0.842769229919327 0.0 Inf 1096.6 1103.4
2300.0 14.526319738149999 0.42990665012873264 0.7877544885773952 0.0 Inf 1145.9 1154.1
2400.0 15.5535592923 0.3970431558673617 0.7321758338150122 0.0 Inf 1195.4 1204.6
2500.0 16.6181282835 0.3716547911896341 0.6907293324225486 0.0 Inf 1246.15 1253.85
