iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.9616465199615 2.5200547219435824e6 2.5200547219435824e6 2.5200547219435824e6 0.0 0.0
100.0 1.8858738693 -1.1680134241982845e6 572458.1093162496 572458.1093162496 1.1108418742828444e6 50000.0 50.0
200.0 3.7129805845500004 -1.927014009067047e6 134508.0553126991 134508.0553126991 717479.961743046 100000.0 100.0
300.0 5.666397819649999 -2.0641910808096179e6 49918.16479220975 49918.16479220975 506152.3397015704 150000.0 150.0
400.0 7.524534108349999 -2.1052419745870624e6 29961.151762757916 29961.151762757916 389707.83766275464 200000.0 200.0
500.0 9.36058432015 -2.126410707105795e6 21500.420317417887 21500.420317417887 317087.69611372455 250000.0 250.0
600.0 11.2238192483 -2.139896744569505e6 16986.723510044274 16986.723510044274 267571.30824990553 300000.0 300.0
700.0 13.194575356500001 -2.149714372741972e6 14142.926694593098 14142.926694593098 231655.21505550705 350000.0 350.0
800.0 15.039443311699998 -2.1573047977516153e6 12243.387567724274 12243.387567724274 204405.38813626862 400000.0 400.0
900.0 16.94171176305 -2.1635360600144127e6 10867.950582873182 10867.950582873182 183020.56815601425 450000.0 450.0
1000.0 18.856954101550006 -2.16882240020505e6 9781.309094570926 9781.309094570926 165782.05653357474 500000.0 500.0
1100.0 20.832316492149996 -2.1733934557345165e6 8933.728644897552 8933.728644897552 151585.21707466946 550000.0 550.0
1200.0 22.723328416799994 -2.177455698415677e6 8218.072565557177 8218.072565557177 139686.37567050286 600000.0 600.0
1300.0 24.69304731315 -2.1810874833424287e6 7600.053911921466 7600.053911921466 129564.37321887386 650000.0 650.0
1400.0 26.60038975675 -2.184372780824933e6 7064.354268150508 7064.354268150508 120844.97797126528 700000.0 700.0
1500.0 28.480875819999994 -2.1873581410446228e6 6598.682285987881 6598.682285987881 113253.58703222357 750000.0 750.0
1600.0 30.557072908299993 -2.1900960348924645e6 6181.245040314179 6181.245040314179 106582.41003430373 800000.0 800.0
1700.0 32.42717296400001 -2.192575600140537e6 5832.6300010297355 5832.6300010297355 100672.6008568979 850000.0 850.0
1800.0 34.47251328234999 -2.194894713144841e6 5518.379709689713 5518.379709689713 95400.62858192758 900000.0 900.0
